Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","AG10-LR1130-BUTTONCELL_BAT",79.776790,-38.965259,45.000000,top
"BT2","Battery_Cell","AG10-LR1130-BUTTONCELL_BAT",92.800000,-39.800000,45.000000,top
"C1","10u","C_0402_1005Metric",105.000000,-50.800000,0.000000,top
"C2","100n","C_0402_1005Metric",88.400000,-43.400000,90.000000,top
"C3","2.2uF","C_0402_1005Metric",84.400000,-43.600000,90.000000,top
"C4","2.2uF","C_0402_1005Metric",79.200000,-64.000000,180.000000,top
"C5","10u","C_0402_1005Metric",105.000000,-49.800000,0.000000,top
"C9","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",105.600000,-45.600000,180.000000,top
"C11","0.1uF","C_0402_1005Metric",86.200000,-42.200000,-90.000000,top
"C18","100n","C_0402_1005Metric",116.120000,-54.400000,180.000000,top
"C19","10u","C_0402_1005Metric",113.720000,-59.320000,-90.000000,top
"C20","100n","C_0402_1005Metric",116.120000,-53.400000,180.000000,top
"C21","100n","C_0402_1005Metric",124.400000,-55.900000,0.000000,top
"C22","100n","C_0402_1005Metric",124.600000,-54.800000,0.000000,top
"C23","10u","C_0402_1005Metric",124.600000,-53.800000,0.000000,top
"C25","22u","C_0402_1005Metric",120.570000,-50.900000,90.000000,top
"C26","22u","C_0402_1005Metric",119.370000,-50.900000,90.000000,top
"C28","100n","C_0402_1005Metric",116.120000,-57.400000,180.000000,top
"C29","100n","C_0402_1005Metric",116.120000,-56.400000,180.000000,top
"C30","100n","C_0402_1005Metric",124.120000,-51.600000,0.000000,top
"C31","1u","C_0402_1005Metric",119.520000,-59.280000,90.000000,top
"C32","100n","C_0402_1005Metric",120.000000,-60.800000,0.000000,top
"C33","10u","C_0402_1005Metric",120.000000,-62.000000,0.000000,top
"C34","22p","C_0402_1005Metric",110.400000,-54.920000,90.000000,top
"C35","22p","C_0402_1005Metric",107.600000,-51.000000,0.000000,top
"C36","22p","C_0402_1005Metric",105.600000,-57.800000,0.000000,top
"C37","22p","C_0402_1005Metric",107.680000,-57.800000,180.000000,top
"C38","100n","C_0402_1005Metric",94.400000,-69.520000,-90.000000,top
"C39","100n","C_0402_1005Metric",79.200000,-53.200000,180.000000,top
"C40","100n","C_0402_1005Metric",79.320000,-58.600000,180.000000,top
"C41","100n","C_0402_1005Metric",81.800000,-45.600000,180.000000,top
"C42","100n","C_0402_1005Metric",79.200000,-65.200000,180.000000,top
"C43","100n","C_0402_1005Metric",89.400000,-69.400000,-90.000000,top
"C44","100n","C_0402_1005Metric",105.000000,-56.800000,0.000000,top
"C45","100n","C_0402_1005Metric",104.800000,-62.600000,0.000000,top
"C46","100n","C_0402_1005Metric",105.000000,-48.800000,0.000000,top
"C47","10u","C_0402_1005Metric",107.400000,-45.800000,-90.000000,top
"C48","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",103.800000,-39.000000,180.000000,top
"C49","10u","C_0402_1005Metric",106.000000,-39.000000,0.000000,top
"C50","100n","C_0402_1005Metric",87.000000,-75.800000,180.000000,top
"C51","10u","C_0402_1005Metric",89.624000,-77.425000,0.000000,top
"FB1","L","L_0603_1608Metric",115.120000,-59.800000,90.000000,top
"J4","Conn_02x08_Odd_Even","PinHeader_2x07_P2.54mm_Vertical_SMD",117.940000,-39.725000,90.000000,top
"L1","L","L_0603_1608Metric",105.600000,-47.600000,180.000000,top
"LD1","Green","LED_0603_1608Metric",120.800000,-30.200000,-90.000000,top
"LD2","Orange","LED_0603_1608Metric",117.000000,-30.587500,-90.000000,top
"LD3","RED","LED_0603_1608Metric",105.800000,-30.600000,-90.000000,top
"LD4","Blue","LED_0603_1608Metric",109.400000,-30.600000,-90.000000,top
"Q1","AO3401A","SOT-23",79.737500,-43.000000,0.000000,top
"R1","5k1","R_0402_1005Metric",125.800000,-32.600000,0.000000,top
"R2","5k1","R_0402_1005Metric",125.800000,-31.400000,0.000000,top
"R5","510","R_0402_1005Metric",122.300000,-30.735000,-90.000000,top
"R6","510","R_0402_1005Metric",118.400000,-31.110000,-90.000000,top
